cID,compID,Year,Brand,Model,Lap Time I,RC I,Tire II,Lap Time II,RC II,Tire III,Lap Time III,RC III,Country,MSRP (2022 USD),WHP,WTQ,Weight,P/W (hp/t),Layout,Trans,Rating,DR,_HD,Author,Source,Comments / Other Times,,,,,,,,,,
101,6,2008,Audi,S3 Sportback (8P),1:08.619,1,,,,,,,Germany,"$62,123.06",227,305,1575,144.1269841,F4,MT,3.5,5,L,101Creative,irl,feels like a little too much grip,,,,,,,,,,
102,0,2011,Audi,RS3 (8P),,,,,,,,,Germany,"$65,833.63",333,476,1575,211.4285714,F4,AT,,5,L,DJP,link,too much power,,,,,,,,,,
103,0,2019,Audi,S3 (8V),,,,,,,,,Germany,"$57,691.70",261,338,1450,180,F4,AT,,4,L,Redlex,link,,,,,,,,,,,
104,0,2020,Audi,RS3 Sportback (8V),,,,,,,,,Germany,"$64,312.44",388,420,1575,246.3492063,F4,AT,,5,L,MoulagaZzZ,Patreon,,,,,,,,,,,
105,0,2020,Audi,RS3 (8V),1:03.110,3,,,,,,,Germany,"$64,312.44",364,388,1550,234.8387097,F4,AT,3.5,4,L,TGN,Patreon,"drives pretty good but i highly suspect it has too much grip but then again the car seems well suited for the track irl, good model/details",,,,,,,,,,
106,0,2020,Audi,RS3 (8V),,,,,,,,,Germany,"$64,312.44",352,477,1575,223.4920635,F4,AT,,4,L,TGN,Patreon,,,,,,,,,,,
107,0,2022,Audi,RS3 (8Y),,,,,,,,,Germany,"$66,106.64",396,490,1575,251.4285714,F4,AT,,5,L,Lioux,link,,,,,,,,,,,
108,0,2001,Audi,RS4 Avant (B5),1:08.185,1,,,,,,,Germany,"$107,411.80 ",326,383,1620,201.2345679,F4,MT,3,5,L,101Creative (AO Mods),Patreon,,,,,,,,,,,
109,0,2004,Audi,S4 (B6),,,,,,,,,Germany,"$71,573.44 ",359,348,1735,206.9164265,F4,MT,,5,L,PedroBLR,link,too much power ,,,,,,,,,,
110,7,2005,Audi,RS4 (B7),1:08.37,0,,,,,,,Germany,"$98,303.71",345,376,1650,209.0909091,F4,MT,,4,L,Audi,irl,"cold track, moist",,,,,,,,,,
111,7,2006,Audi,RS4 (B7),1:06.424,1,SMS,1:05.661,1,,,,Germany,"$98,303.71",360,374,1650,218.1818182,F4,MT,4,4,L,Dan Bucsa,Patreon,"good physics model and ffb, st tire feels like period tire sms feels like a modern equivalent but car brakes too hard/ little too much grip on both tires",,,,,,,,,,
112,0,2010,Audi,S4 (B8),,,,,,,,,Germany,"$69,269.92",264,394,1725,153.0434783,F4,AT,,4,L,zorrogsi,link,too little power- closer to an a4,,,,,,,,,,
113,0,2013,Audi,RS4 Avant (B8),1:04.149,2,,,,,,,Germany,"$99,165.67",410,386,1685,243.3234421,F4,AT,3.5,5,L,TGN,Patreon,,,,,,,,,,,
114,0,2018,Audi,RS4 Avant (B9) ,,,,,,,,,Germany,"$95,489.60",435,454,1800,241.6666667,F4,AT,,5,R,MoulagaZzZ,Patreon,,,,,,,,,,,
115,0,2020,Audi,RS4 Avant (B9) ,,,,,,,,,Germany,"$95,489.60",395,523,1715,230.3206997,F4,AT,,5,L,Ceky Performance,,,,,,,,,,,,
116,0,2010,Audi,RS5 (8T),,,,,,,,,Germany,"$117,106.91",452,430,1725,262.0289855,F4,AT,,2,L,jeff insurance,link,power+torque too high,,,,,,,,,,
