Rank,Vehicle,Driver,Time,PS / KG
197.,Honda Civic Type R (FK2),unknown,1:07.40,310 / 1400
198.,BMW M6,unknown,1:07.43,507 / 1770
199.,Mercedes-Benz SLK 55 AMG,unknown,1:07.45,360 / 1495
200.,Nissan 370Z Nismo (355 PS),unknown,1:07.45,355 / -
201.,Porsche Macan Turbo (400 PS),unknown,1:07.45,406 / 1988
202.,Mercedes-Benz GLA 45 AMG,unknown,1:07.48,360 / 1601
203.,Honda Civic Type-R JDM (FD2),unknown,1:07.49,225 / 1270
204.,Renault Megane RS (Mk III),unknown,1:07.50,250 / 1406
205.,Renault Megane RS 265 Trophy,unknown,1:07.50,265 / 1407
206.,Modified BMW M3 Sport Evolutione (E30),unknown,1:07.54,- / -
207.,Mitsubishi GTO MR (Mk II),unknown,1:07.55,280 / 1650
